domain_1,domain_2,year,cosine_similarity
cs,gr-qc,2019,0.127178
cs,gr-qc,2020,0.125726
cs,gr-qc,2021,0.137695
cs,gr-qc,2022,0.146739
cs,gr-qc,2023,0.154374
cs,gr-qc,2024,0.158131
cs,gr-qc,2025,0.180348
cs,gr-qc,2026,0.198814
cs,hep-ex,2019,0.099735
cs,hep-ex,2020,0.148685
cs,hep-ex,2021,0.165045
cs,hep-ex,2022,0.191477
cs,hep-ex,2023,0.212234
cs,hep-ex,2024,0.21029
cs,hep-ex,2025,0.231518
cs,hep-ex,2026,0.247361
cs,hep-lat,2019,0.133323
cs,hep-lat,2020,0.155085
cs,hep-lat,2021,0.154576
cs,hep-lat,2022,0.169591
cs,hep-lat,2023,0.186558
cs,hep-lat,2024,0.180999
cs,hep-lat,2025,0.203764
cs,hep-lat,2026,0.224855
cs,hep-ph,2019,0.16951
cs,hep-ph,2020,0.180744
cs,hep-ph,2021,0.184151
cs,hep-ph,2022,0.194044
cs,hep-ph,2023,0.201069
cs,hep-ph,2024,0.204936
cs,hep-ph,2025,0.231551
cs,hep-ph,2026,0.251257
cs,hep-th,2019,0.129665
cs,hep-th,2020,0.13164
cs,hep-th,2021,0.137213
cs,hep-th,2022,0.145715
cs,hep-th,2023,0.149438
cs,hep-th,2024,0.150295
cs,hep-th,2025,0.166502
cs,hep-th,2026,0.183953
cs,math,2019,0.269021
cs,math,2020,0.268167
cs,math,2021,0.261848
cs,math,2022,0.258862
cs,math,2023,0.257842
cs,math,2024,0.233252
cs,math,2025,0.234852
cs,math,2026,0.254711
cs,math-ph,2019,0.121049
cs,math-ph,2020,0.111438
cs,math-ph,2021,0.105297
cs,math-ph,2022,0.104076
cs,math-ph,2023,0.105572
cs,math-ph,2024,0.085363
cs,math-ph,2025,0.114359
cs,math-ph,2026,0.148358
cs,nlin,2019,0.06783
cs,nlin,2020,0.072066
cs,nlin,2021,0.042484
cs,nlin,2022,0.067339
cs,nlin,2023,0.061326
cs,nlin,2024,0.085847
cs,nlin,2025,0.12513
cs,nlin,2026,0.176669
cs,nucl-ex,2019,0.046281
cs,nucl-ex,2020,0.027985
cs,nucl-ex,2021,0.039092
cs,nucl-ex,2022,0.044978
cs,nucl-ex,2023,0.044599
cs,nucl-ex,2024,0.050235
cs,nucl-ex,2025,0.086828
cs,nucl-ex,2026,0.094932
cs,nucl-th,2019,0.050313
cs,nucl-th,2020,0.04869
cs,nucl-th,2021,0.055628
cs,nucl-th,2022,0.064898
cs,nucl-th,2023,0.071847
cs,nucl-th,2024,0.08271
cs,nucl-th,2025,0.111443
cs,nucl-th,2026,0.136283
cs,physics,2019,0.173018
cs,physics,2020,0.209156
cs,physics,2021,0.223388
cs,physics,2022,0.236703
cs,physics,2023,0.258755
cs,physics,2024,0.290679
cs,physics,2025,0.364751
cs,physics,2026,0.394375
cs,q-bio,2019,0.512168
cs,q-bio,2020,0.488065
cs,q-bio,2021,0.529151
cs,q-bio,2022,0.576676
cs,q-bio,2023,0.60611
cs,q-bio,2024,0.628298
cs,q-bio,2025,0.675541
cs,q-bio,2026,0.692576
cs,q-fin,2019,0.336084
cs,q-fin,2020,0.358957
cs,q-fin,2021,0.367021
cs,q-fin,2022,0.390016
cs,q-fin,2023,0.39716
cs,q-fin,2024,0.414049
cs,q-fin,2025,0.455021
cs,q-fin,2026,0.497166
cs,quant-ph,2019,0.227172
cs,quant-ph,2020,0.223305
cs,quant-ph,2021,0.237926
cs,quant-ph,2022,0.246342
cs,quant-ph,2023,0.254091
cs,quant-ph,2024,0.256475
cs,quant-ph,2025,0.291297
cs,quant-ph,2026,0.326658
cs,stat,2019,0.724684
cs,stat,2020,0.703746
cs,stat,2021,0.695305
cs,stat,2022,0.689138
cs,stat,2023,0.69371
cs,stat,2024,0.679495
cs,stat,2025,0.685986
cs,stat,2026,0.711861
econ,eess,2019,0.224022
econ,eess,2020,0.21926
econ,eess,2021,0.210461
econ,eess,2022,0.227272
econ,eess,2023,0.230366
econ,eess,2024,0.257323
econ,eess,2025,0.30174
econ,eess,2026,0.346557
econ,gr-qc,2019,0.169209
econ,gr-qc,2020,0.151055
econ,gr-qc,2021,0.138126
econ,gr-qc,2022,0.161553
econ,gr-qc,2023,0.147171
econ,gr-qc,2024,0.158484
econ,gr-qc,2025,0.169198
econ,gr-qc,2026,0.179836
econ,hep-ex,2019,0.009161
econ,hep-ex,2020,0.048038
econ,hep-ex,2021,0.035829
econ,hep-ex,2022,0.051609
econ,hep-ex,2023,0.054272
econ,hep-ex,2024,0.070932
econ,hep-ex,2025,0.082432
